Datum,energie,wind_richting,zon_perc,zon_straling,dag_vocht,max_vocht,min_vocht,vector_wind,wind,max_wind,min_wind,max_windstoot,gem_temp,min_temp,max_temp,zon_uren,duur_neerslag,dag_neerslag,max_neerslag,dag_luchtdruk,max_luchtdruk,min_luchtdruk,CPI_energie,wind_richting_1j,zon_perc_1j,zon_straling_1j,dag_vocht_1j,max_vocht_1j,min_vocht_1j,vector_wind_1j,wind_1j,max_wind_1j,min_wind_1j,max_windstoot_1j,gem_temp_1j,min_temp_1j,max_temp_1j,zon_uren_1j,duur_neerslag_1j,dag_neerslag_1j,max_neerslag_1j,dag_luchtdruk_1j,max_luchtdruk_1j,min_luchtdruk_1j,CPI_energie_1j,wind_richting_1m,zon_perc_1m,zon_straling_1m,dag_vocht_1m,max_vocht_1m,min_vocht_1m,vector_wind_1m,wind_1m,max_wind_1m,min_wind_1m,max_windstoot_1m,gem_temp_1m,min_temp_1m,max_temp_1m,zon_uren_1m,duur_neerslag_1m,dag_neerslag_1m,max_neerslag_1m,dag_luchtdruk_1m,max_luchtdruk_1m,min_luchtdruk_1m,CPI_energie_1m,wind_richting_3m,zon_perc_3m,zon_straling_3m,dag_vocht_3m,max_vocht_3m,min_vocht_3m,vector_wind_3m,wind_3m,max_wind_3m,min_wind_3m,max_windstoot_3m,gem_temp_3m,min_temp_3m,max_temp_3m,zon_uren_3m,duur_neerslag_3m,dag_neerslag_3m,max_neerslag_3m,dag_luchtdruk_3m,max_luchtdruk_3m,min_luchtdruk_3m,CPI_energie_3m,wind_richting_6m,zon_perc_6m,zon_straling_6m,dag_vocht_6m,max_vocht_6m,min_vocht_6m,vector_wind_6m,wind_6m,max_wind_6m,min_wind_6m,max_windstoot_6m,gem_temp_6m,min_temp_6m,max_temp_6m,zon_uren_6m,duur_neerslag_6m,dag_neerslag_6m,max_neerslag_6m,dag_luchtdruk_6m,max_luchtdruk_6m,min_luchtdruk_6m,CPI_energie_6m
2001-01,9267,141.48387096774192,27.967741935483872,241.8709677419355,90.16129032258064,96.58064516129032,79.48387096774194,3.403225806451613,3.693548387096774,5.258064516129032,2.096774193548387,9.64516129032258,2.606451612903226,0.0258064516129031,5.332258064516129,2.312903225806452,2.2548387096774194,2.261290322580645,0.6580645161290322,1011.5806451612904,1015.1903225806452,1007.758064516129,62.13,223.6129032258065,21.83870967741936,201.7741935483871,89.25806451612904,95.80645161290325,80.12903225806451,3.980645161290323,4.219354838709678,5.967741935483871,2.4838709677419355,11.32258064516129,4.329032258064516,1.729032258064516,6.561290322580645,1.8064516129032255,1.403225806451613,1.3064516129032258,0.3903225806451613,1023.0451612903228,1026.6387096774192,1019.3903225806451,52.22,166.90322580645162,28.451612903225808,205.9032258064516,87.70967741935483,95.16129032258064,78.09677419354838,4.458064516129032,4.712903225806452,6.67741935483871,3.161290322580645,12.483870967741936,5.067741935483871,2.732258064516129,7.083870967741936,2.2161290322580647,3.0387096774193547,2.9451612903225803,0.9483870967741936,1008.2032258064517,1011.2612903225806,1004.8290322580646,55.08,187.96774193548387,29.387096774193548,508.8387096774193,89.06451612903226,97.6774193548387,74.2258064516129,3.929032258064516,4.296774193548386,6.451612903225806,2.3225806451612905,12.225806451612904,11.319354838709677,7.699999999999999,14.95483870967742,3.161290322580645,3.0064516129032257,3.393548387096774,1.3580645161290323,1010.2483870967742,1014.483870967742,1005.7709677419356,55.02,223.2258064516129,24.483870967741936,1376.8709677419354,83.87096774193549,95.96774193548389,67.12903225806451,2.635483870967742,2.925806451612903,4.516129032258065,1.3548387096774193,8.870967741935484,15.519354838709678,11.641935483870968,19.548387096774192,3.954838709677419,1.8548387096774197,3.1516129032258067,1.5677419354838709,1012.616129032258,1015.3193548387096,1009.8870967741937,54.71
2001-02,8266,181.64285714285717,32.25,483.57142857142856,88.0,97.46428571428572,73.96428571428571,3.0500000000000003,3.6392857142857142,5.428571428571429,1.6785714285714286,10.5,4.467857142857143,1.1535714285714285,7.792857142857143,3.2607142857142857,3.4035714285714285,3.2214285714285715,0.7964285714285715,1016.9821428571428,1020.407142857143,1013.2535714285714,62.13,237.48275862068965,36.82758620689656,484.3103448275862,83.82758620689656,94.79310344827586,67.79310344827586,4.296551724137931,4.748275862068965,6.724137931034483,2.793103448275862,12.862068965517242,5.855172413793104,2.5379310344827584,8.941379310344828,3.682758620689655,2.8551724137931034,3.5103448275862066,1.0586206896551724,1017.6724137931036,1022.6137931034484,1012.1517241379312,52.29,141.48387096774192,27.967741935483872,241.8709677419355,90.16129032258064,96.58064516129032,79.48387096774194,3.403225806451613,3.693548387096774,5.258064516129032,2.096774193548387,9.64516129032258,2.606451612903226,0.0258064516129031,5.332258064516129,2.312903225806452,2.2548387096774194,2.261290322580645,0.6580645161290322,1011.5806451612904,1015.1903225806452,1007.758064516129,62.13,184.0,22.933333333333334,250.4333333333333,89.33333333333333,95.86666666666666,80.23333333333333,4.683333333333334,4.92,6.533333333333333,3.2,12.0,7.79,5.3933333333333335,10.12,2.03,3.1,3.9166666666666665,1.3666666666666667,1002.1,1006.0166666666668,997.7233333333334,55.08,212.1935483870968,46.64516129032258,1597.6774193548388,80.96774193548387,97.51612903225806,59.2258064516129,2.135483870967742,2.4806451612903224,4.290322580645161,0.9032258064516128,8.516129032258064,17.416129032258063,11.593548387096773,22.80967741935484,6.825806451612903,0.7096774193548387,1.3806451612903226,0.9032258064516128,1017.5193548387095,1019.232258064516,1015.7129032258064,54.71
2001-03,8962,142.5806451612903,17.419354838709676,570.7741935483871,85.54838709677419,95.4516129032258,72.35483870967742,3.448387096774194,3.829032258064516,5.935483870967742,1.7741935483870968,10.935483870967742,4.945161290322581,1.835483870967742,8.03225806451613,2.041935483870968,2.141935483870968,2.3774193548387097,0.7483870967741936,1004.9903225806452,1009.0548387096776,1000.8935483870968,62.13,202.48387096774192,21.967741935483872,629.258064516129,85.61290322580645,95.7741935483871,69.70967741935483,3.6774193548387095,3.980645161290323,5.903225806451613,2.032258064516129,11.67741935483871,6.796774193548386,3.361290322580645,10.112903225806452,2.583870967741936,2.0387096774193547,2.5354838709677416,0.8677419354838709,1019.2258064516128,1022.4290322580644,1015.967741935484,52.73,181.64285714285717,32.25,483.57142857142856,88.0,97.46428571428572,73.96428571428571,3.0500000000000003,3.6392857142857142,5.428571428571429,1.6785714285714286,10.5,4.467857142857143,1.1535714285714285,7.792857142857143,3.2607142857142857,3.4035714285714285,3.2214285714285715,0.7964285714285715,1016.9821428571428,1020.407142857143,1013.2535714285714,62.13,166.90322580645162,28.451612903225808,205.9032258064516,87.70967741935483,95.16129032258064,78.09677419354838,4.458064516129032,4.712903225806452,6.67741935483871,3.161290322580645,12.483870967741936,5.067741935483871,2.732258064516129,7.083870967741936,2.2161290322580647,3.0387096774193547,2.9451612903225803,0.9483870967741936,1008.2032258064517,1011.2612903225806,1004.8290322580646,55.08,198.9333333333333,30.7,906.8,86.5,96.6,69.63333333333334,2.566666666666667,2.9766666666666666,4.866666666666666,1.4666666666666666,9.5,15.816666666666666,12.11,19.946666666666665,3.8466666666666662,1.68,2.28,1.1866666666666668,1013.0066666666668,1015.93,1010.07,54.68
2001-04,8156,226.4,34.766666666666666,1220.1666666666667,78.93333333333334,96.33333333333331,56.13333333333333,3.39,3.9266666666666663,6.0,1.9333333333333331,11.633333333333333,8.283333333333333,4.09,12.58,4.83,2.396666666666667,2.9,1.096666666666667,1011.7866666666666,1015.16,1007.7233333333334,60.14,166.4,37.06666666666667,1263.6,76.43333333333334,94.26666666666668,57.53333333333333,2.8400000000000003,3.553333333333333,5.7,1.6,10.5,9.986666666666668,5.1866666666666665,14.753333333333334,5.116666666666666,1.2666666666666666,1.2866666666666666,0.59,1007.75,1011.3533333333334,1004.2166666666668,52.74,142.5806451612903,17.419354838709676,570.7741935483871,85.54838709677419,95.4516129032258,72.35483870967742,3.448387096774194,3.829032258064516,5.935483870967742,1.7741935483870968,10.935483870967742,4.945161290322581,1.835483870967742,8.03225806451613,2.041935483870968,2.141935483870968,2.3774193548387097,0.7483870967741936,1004.9903225806452,1009.0548387096776,1000.8935483870968,62.13,141.48387096774192,27.967741935483872,241.8709677419355,90.16129032258064,96.58064516129032,79.48387096774194,3.403225806451613,3.693548387096774,5.258064516129032,2.096774193548387,9.64516129032258,2.606451612903226,0.0258064516129031,5.332258064516129,2.312903225806452,2.2548387096774194,2.261290322580645,0.6580645161290322,1011.5806451612904,1015.1903225806452,1007.758064516129,62.13,187.96774193548387,29.387096774193548,508.8387096774193,89.06451612903226,97.6774193548387,74.2258064516129,3.929032258064516,4.296774193548386,6.451612903225806,2.3225806451612905,12.225806451612904,11.319354838709677,7.699999999999999,14.95483870967742,3.161290322580645,3.0064516129032257,3.393548387096774,1.3580645161290323,1010.2483870967742,1014.483870967742,1005.7709677419356,55.02
2001-05,8304,134.6451612903226,56.96774193548387,2028.741935483871,71.64516129032258,93.5483870967742,50.32258064516129,3.6193548387096777,3.8354838709677415,5.741935483870968,1.8387096774193548,10.903225806451612,14.141935483870968,8.52258064516129,19.358064516129037,8.941935483870967,0.7290322580645161,0.935483870967742,0.3935483870967741,1017.883870967742,1020.1419354838712,1015.4709677419354,60.14,158.4516129032258,43.354838709677416,1701.9032258064517,74.83870967741936,94.06451612903226,53.61290322580645,2.9000000000000004,3.496774193548388,5.451612903225806,1.5806451612903225,11.258064516129032,14.73225806451613,9.274193548387096,20.02258064516129,6.780645161290322,1.8516129032258064,2.7161290322580647,0.9096774193548388,1014.8064516129032,1017.1096774193549,1011.9290322580644,52.74,226.4,34.766666666666666,1220.1666666666667,78.93333333333334,96.33333333333331,56.13333333333333,3.39,3.9266666666666663,6.0,1.9333333333333331,11.633333333333333,8.283333333333333,4.09,12.58,4.83,2.396666666666667,2.9,1.096666666666667,1011.7866666666666,1015.16,1007.7233333333334,60.14,181.64285714285717,32.25,483.57142857142856,88.0,97.46428571428572,73.96428571428571,3.0500000000000003,3.6392857142857142,5.428571428571429,1.6785714285714286,10.5,4.467857142857143,1.1535714285714285,7.792857142857143,3.2607142857142857,3.4035714285714285,3.2214285714285715,0.7964285714285715,1016.9821428571428,1020.407142857143,1013.2535714285714,62.13,184.0,22.933333333333334,250.4333333333333,89.33333333333333,95.86666666666666,80.23333333333333,4.683333333333334,4.92,6.533333333333333,3.2,12.0,7.79,5.3933333333333335,10.12,2.03,3.1,3.9166666666666665,1.3666666666666667,1002.1,1006.0166666666668,997.7233333333334,55.08
2001-06,8105,232.2333333333333,40.5,1883.0,72.63333333333334,94.96666666666668,51.16666666666666,2.623333333333333,3.023333333333333,4.833333333333333,1.2333333333333334,9.733333333333333,15.156666666666666,9.71,20.05333333333333,6.756666666666666,1.06,1.7666666666666666,0.62,1016.56,1019.04,1014.0533333333332,60.14,236.76666666666668,46.23333333333333,1945.3,75.83333333333333,94.66666666666669,56.43333333333333,2.933333333333333,3.2133333333333334,5.133333333333334,1.2,10.0,16.003333333333334,10.06,21.07333333333333,7.716666666666667,1.2166666666666666,2.0,0.98,1019.42,1021.38,1017.2566666666668,52.74,134.6451612903226,56.96774193548387,2028.741935483871,71.64516129032258,93.5483870967742,50.32258064516129,3.6193548387096777,3.8354838709677415,5.741935483870968,1.8387096774193548,10.903225806451612,14.141935483870968,8.52258064516129,19.358064516129037,8.941935483870967,0.7290322580645161,0.935483870967742,0.3935483870967741,1017.883870967742,1020.1419354838712,1015.4709677419354,60.14,142.5806451612903,17.419354838709676,570.7741935483871,85.54838709677419,95.4516129032258,72.35483870967742,3.448387096774194,3.829032258064516,5.935483870967742,1.7741935483870968,10.935483870967742,4.945161290322581,1.835483870967742,8.03225806451613,2.041935483870968,2.141935483870968,2.3774193548387097,0.7483870967741936,1004.9903225806452,1009.0548387096776,1000.8935483870968,62.13,166.90322580645162,28.451612903225808,205.9032258064516,87.70967741935483,95.16129032258064,78.09677419354838,4.458064516129032,4.712903225806452,6.67741935483871,3.161290322580645,12.483870967741936,5.067741935483871,2.732258064516129,7.083870967741936,2.2161290322580647,3.0387096774193547,2.9451612903225803,0.9483870967741936,1008.2032258064517,1011.2612903225806,1004.8290322580646,55.08
2001-07,8291,194.70967741935485,42.935483870967744,1812.645161290323,78.3225806451613,96.0,56.96774193548387,2.735483870967742,3.158064516129032,5.032258064516129,1.3548387096774193,9.903225806451612,18.532258064516128,13.28064516129032,23.61290322580645,6.961290322580646,1.4258064516129034,2.790322580645161,1.3290322580645162,1014.1225806451612,1016.5290322580644,1011.7225806451612,62.91,223.2258064516129,24.483870967741936,1376.8709677419354,83.87096774193549,95.96774193548389,67.12903225806451,2.635483870967742,2.925806451612903,4.516129032258065,1.3548387096774193,8.870967741935484,15.519354838709678,11.641935483870968,19.548387096774192,3.954838709677419,1.8548387096774197,3.1516129032258067,1.5677419354838709,1012.616129032258,1015.3193548387096,1009.8870967741937,54.71,232.2333333333333,40.5,1883.0,72.63333333333334,94.96666666666668,51.16666666666666,2.623333333333333,3.023333333333333,4.833333333333333,1.2333333333333334,9.733333333333333,15.156666666666666,9.71,20.05333333333333,6.756666666666666,1.06,1.7666666666666666,0.62,1016.56,1019.04,1014.0533333333332,60.14,226.4,34.766666666666666,1220.1666666666667,78.93333333333334,96.33333333333331,56.13333333333333,3.39,3.9266666666666663,6.0,1.9333333333333331,11.633333333333333,8.283333333333333,4.09,12.58,4.83,2.396666666666667,2.9,1.096666666666667,1011.7866666666666,1015.16,1007.7233333333334,60.14,141.48387096774192,27.967741935483872,241.8709677419355,90.16129032258064,96.58064516129032,79.48387096774194,3.403225806451613,3.693548387096774,5.258064516129032,2.096774193548387,9.64516129032258,2.606451612903226,0.0258064516129031,5.332258064516129,2.312903225806452,2.2548387096774194,2.261290322580645,0.6580645161290322,1011.5806451612904,1015.1903225806452,1007.758064516129,62.13
2001-08,8470,207.38709677419357,43.2258064516129,1531.3870967741937,80.90322580645162,97.93548387096774,58.54838709677419,2.5387096774193547,3.012903225806452,4.741935483870968,1.1612903225806452,9.580645161290322,18.483870967741936,12.948387096774193,23.635483870967743,6.316129032258065,1.4967741935483871,3.732258064516129,1.9064516129032256,1015.0903225806452,1017.8064516129032,1012.2064516129032,62.91,212.1935483870968,46.64516129032258,1597.6774193548388,80.96774193548387,97.51612903225806,59.2258064516129,2.135483870967742,2.4806451612903224,4.290322580645161,0.9032258064516128,8.516129032258064,17.416129032258063,11.593548387096773,22.80967741935484,6.825806451612903,0.7096774193548387,1.3806451612903226,0.9032258064516128,1017.5193548387095,1019.232258064516,1015.7129032258064,54.71,194.70967741935485,42.935483870967744,1812.645161290323,78.3225806451613,96.0,56.96774193548387,2.735483870967742,3.158064516129032,5.032258064516129,1.3548387096774193,9.903225806451612,18.532258064516128,13.28064516129032,23.61290322580645,6.961290322580646,1.4258064516129034,2.790322580645161,1.3290322580645162,1014.1225806451612,1016.5290322580644,1011.7225806451612,62.91,134.6451612903226,56.96774193548387,2028.741935483871,71.64516129032258,93.5483870967742,50.32258064516129,3.6193548387096777,3.8354838709677415,5.741935483870968,1.8387096774193548,10.903225806451612,14.141935483870968,8.52258064516129,19.358064516129037,8.941935483870967,0.7290322580645161,0.935483870967742,0.3935483870967741,1017.883870967742,1020.1419354838712,1015.4709677419354,60.14,181.64285714285717,32.25,483.57142857142856,88.0,97.46428571428572,73.96428571428571,3.0500000000000003,3.6392857142857142,5.428571428571429,1.6785714285714286,10.5,4.467857142857143,1.1535714285714285,7.792857142857143,3.2607142857142857,3.4035714285714285,3.2214285714285715,0.7964285714285715,1016.9821428571428,1020.407142857143,1013.2535714285714,62.13
2001-09,8428,232.7,29.73333333333333,900.3,87.13333333333334,98.03333333333332,68.9,2.7,3.1933333333333334,5.1,1.6333333333333333,10.8,13.433333333333334,10.086666666666668,17.363333333333333,3.753333333333333,3.61,7.013333333333334,2.4133333333333336,1011.4133333333334,1013.6666666666666,1008.3666666666668,62.91,198.9333333333333,30.7,906.8,86.5,96.6,69.63333333333334,2.566666666666667,2.9766666666666666,4.866666666666666,1.4666666666666666,9.5,15.816666666666666,12.11,19.946666666666665,3.8466666666666662,1.68,2.28,1.1866666666666668,1013.0066666666668,1015.93,1010.07,54.68,207.38709677419357,43.2258064516129,1531.3870967741937,80.90322580645162,97.93548387096774,58.54838709677419,2.5387096774193547,3.012903225806452,4.741935483870968,1.1612903225806452,9.580645161290322,18.483870967741936,12.948387096774193,23.635483870967743,6.316129032258065,1.4967741935483871,3.732258064516129,1.9064516129032256,1015.0903225806452,1017.8064516129032,1012.2064516129032,62.91,232.2333333333333,40.5,1883.0,72.63333333333334,94.96666666666668,51.16666666666666,2.623333333333333,3.023333333333333,4.833333333333333,1.2333333333333334,9.733333333333333,15.156666666666666,9.71,20.05333333333333,6.756666666666666,1.06,1.7666666666666666,0.62,1016.56,1019.04,1014.0533333333332,60.14,142.5806451612903,17.419354838709676,570.7741935483871,85.54838709677419,95.4516129032258,72.35483870967742,3.448387096774194,3.829032258064516,5.935483870967742,1.7741935483870968,10.935483870967742,4.945161290322581,1.835483870967742,8.03225806451613,2.041935483870968,2.141935483870968,2.3774193548387097,0.7483870967741936,1004.9903225806452,1009.0548387096776,1000.8935483870968,62.13
2001-10,9064,187.9032258064516,36.16129032258065,609.0322580645161,86.6774193548387,96.96774193548389,71.70967741935483,3.735483870967742,3.938709677419354,5.612903225806452,2.290322580645161,10.870967741935484,14.21935483870968,10.841935483870968,17.958064516129035,3.8451612903225807,1.029032258064516,1.2999999999999998,0.5967741935483871,1014.3709677419356,1017.4709677419354,1011.1258064516128,62.47,187.96774193548387,29.387096774193548,508.8387096774193,89.06451612903226,97.6774193548387,74.2258064516129,3.929032258064516,4.296774193548386,6.451612903225806,2.3225806451612905,12.225806451612904,11.319354838709677,7.699999999999999,14.95483870967742,3.161290322580645,3.0064516129032257,3.393548387096774,1.3580645161290323,1010.2483870967742,1014.483870967742,1005.7709677419356,55.02,232.7,29.73333333333333,900.3,87.13333333333334,98.03333333333332,68.9,2.7,3.1933333333333334,5.1,1.6333333333333333,10.8,13.433333333333334,10.086666666666668,17.363333333333333,3.753333333333333,3.61,7.013333333333334,2.4133333333333336,1011.4133333333334,1013.6666666666666,1008.3666666666668,62.91,194.70967741935485,42.935483870967744,1812.645161290323,78.3225806451613,96.0,56.96774193548387,2.735483870967742,3.158064516129032,5.032258064516129,1.3548387096774193,9.903225806451612,18.532258064516128,13.28064516129032,23.61290322580645,6.961290322580646,1.4258064516129034,2.790322580645161,1.3290322580645162,1014.1225806451612,1016.5290322580644,1011.7225806451612,62.91,226.4,34.766666666666666,1220.1666666666667,78.93333333333334,96.33333333333331,56.13333333333333,3.39,3.9266666666666663,6.0,1.9333333333333331,11.633333333333333,8.283333333333333,4.09,12.58,4.83,2.396666666666667,2.9,1.096666666666667,1011.7866666666666,1015.16,1007.7233333333334,60.14
