Datum,wind_richting,zon_perc,zon_straling,dag_vocht,max_vocht,min_vocht,vector_wind,wind,max_wind,min_wind,max_windstoot,gem_temp,min_temp,max_temp,zon_uren,duur_neerslag,dag_neerslag,max_neerslag,dag_luchtdruk,max_luchtdruk,min_luchtdruk
2000-01,223.61290322580646,21.838709677419356,201.7741935483871,89.25806451612904,95.80645161290323,80.12903225806451,3.980645161290323,4.219354838709678,5.967741935483871,2.4838709677419355,11.32258064516129,4.329032258064516,1.729032258064516,6.561290322580645,1.8064516129032258,1.403225806451613,1.3064516129032258,0.3903225806451613,1023.0451612903227,1026.6387096774192,1019.3903225806451
2000-02,237.48275862068965,36.827586206896555,484.3103448275862,83.82758620689656,94.79310344827586,67.79310344827586,4.296551724137931,4.748275862068965,6.724137931034483,2.793103448275862,12.862068965517242,5.855172413793104,2.5379310344827584,8.941379310344828,3.682758620689655,2.8551724137931034,3.5103448275862066,1.0586206896551724,1017.6724137931035,1022.6137931034483,1012.1517241379311
2000-03,202.48387096774192,21.967741935483872,629.258064516129,85.61290322580645,95.7741935483871,69.70967741935483,3.6774193548387095,3.980645161290323,5.903225806451613,2.032258064516129,11.67741935483871,6.796774193548386,3.361290322580645,10.112903225806452,2.5838709677419356,2.0387096774193547,2.5354838709677416,0.8677419354838709,1019.2258064516129,1022.4290322580645,1015.9677419354839
2000-04,166.4,37.06666666666667,1263.6,76.43333333333334,94.26666666666667,57.53333333333333,2.8400000000000003,3.5533333333333332,5.7,1.6,10.5,9.986666666666668,5.1866666666666665,14.753333333333334,5.116666666666666,1.2666666666666666,1.2866666666666666,0.59,1007.75,1011.3533333333334,1004.2166666666667
2000-05,158.4516129032258,43.354838709677416,1701.9032258064517,74.83870967741936,94.06451612903226,53.61290322580645,2.9000000000000004,3.4967741935483874,5.451612903225806,1.5806451612903225,11.258064516129032,14.73225806451613,9.274193548387096,20.02258064516129,6.780645161290322,1.8516129032258064,2.7161290322580647,0.9096774193548387,1014.8064516129032,1017.1096774193549,1011.9290322580645
2000-06,236.76666666666668,46.233333333333334,1945.3,75.83333333333333,94.66666666666667,56.43333333333333,2.933333333333333,3.2133333333333334,5.133333333333334,1.2,10.0,16.003333333333334,10.06,21.073333333333334,7.716666666666667,1.2166666666666666,2.0,0.98,1019.42,1021.38,1017.2566666666667
2000-07,223.2258064516129,24.483870967741936,1376.8709677419354,83.87096774193549,95.96774193548387,67.12903225806451,2.635483870967742,2.925806451612903,4.516129032258065,1.3548387096774193,8.870967741935484,15.519354838709678,11.641935483870967,19.548387096774192,3.954838709677419,1.8548387096774193,3.1516129032258067,1.5677419354838709,1012.6161290322581,1015.3193548387097,1009.8870967741935
2000-08,212.19354838709677,46.645161290322584,1597.6774193548388,80.96774193548387,97.51612903225806,59.225806451612904,2.135483870967742,2.4806451612903224,4.290322580645161,0.9032258064516129,8.516129032258064,17.416129032258063,11.593548387096773,22.809677419354838,6.825806451612903,0.7096774193548387,1.3806451612903226,0.9032258064516129,1017.5193548387097,1019.2322580645161,1015.7129032258064
2000-09,198.93333333333334,30.7,906.8,86.5,96.6,69.63333333333334,2.566666666666667,2.9766666666666666,4.866666666666666,1.4666666666666666,9.5,15.816666666666666,12.110000000000001,19.946666666666665,3.8466666666666667,1.68,2.2800000000000002,1.1866666666666668,1013.0066666666667,1015.9300000000001,1010.0699999999999
2000-10,187.96774193548387,29.387096774193548,508.83870967741933,89.06451612903226,97.6774193548387,74.2258064516129,3.929032258064516,4.296774193548386,6.451612903225806,2.3225806451612905,12.225806451612904,11.319354838709677,7.699999999999999,14.95483870967742,3.161290322580645,3.0064516129032257,3.393548387096774,1.3580645161290323,1010.2483870967742,1014.483870967742,1005.7709677419356
2000-11,184.0,22.933333333333334,250.43333333333334,89.33333333333333,95.86666666666666,80.23333333333333,4.683333333333334,4.92,6.533333333333333,3.2,12.0,7.79,5.3933333333333335,10.120000000000001,2.03,3.1,3.9166666666666665,1.3666666666666667,1002.1,1006.0166666666667,997.7233333333334
2000-12,166.90322580645162,28.451612903225808,205.90322580645162,87.70967741935483,95.16129032258064,78.09677419354838,4.458064516129032,4.712903225806452,6.67741935483871,3.161290322580645,12.483870967741936,5.067741935483871,2.732258064516129,7.083870967741936,2.2161290322580647,3.0387096774193547,2.9451612903225803,0.9483870967741935,1008.2032258064515,1011.2612903225806,1004.8290322580646
2001-01,141.48387096774192,27.967741935483872,241.8709677419355,90.16129032258064,96.58064516129032,79.48387096774194,3.403225806451613,3.693548387096774,5.258064516129032,2.096774193548387,9.64516129032258,2.606451612903226,0.025806451612903198,5.332258064516129,2.3129032258064517,2.2548387096774194,2.261290322580645,0.6580645161290322,1011.5806451612904,1015.1903225806452,1007.758064516129
2001-02,181.64285714285714,32.25,483.57142857142856,88.0,97.46428571428571,73.96428571428571,3.0500000000000003,3.6392857142857147,5.428571428571429,1.6785714285714286,10.5,4.4678571428571425,1.1535714285714285,7.792857142857143,3.2607142857142857,3.4035714285714285,3.2214285714285715,0.7964285714285715,1016.9821428571429,1020.407142857143,1013.2535714285714
2001-03,142.58064516129033,17.419354838709676,570.7741935483871,85.54838709677419,95.45161290322581,72.35483870967742,3.448387096774194,3.829032258064516,5.935483870967742,1.7741935483870968,10.935483870967742,4.945161290322581,1.835483870967742,8.03225806451613,2.041935483870968,2.141935483870968,2.3774193548387097,0.7483870967741936,1004.9903225806452,1009.0548387096775,1000.8935483870968
